c_technology_pfk;c_investment_options_units_pfk;c_economic_parameter_validity_time;c_economic_parameter_value;c_economic_parameter_unit_fk;c_economic_parameter_scenario_pk;c_economic_parameter_comment
tec_bat_li;un_kWh;2041;228;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2042;219;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2043;210;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2044;201;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2045;193;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2046;184;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2047;175;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2048;166;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2049;158;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2050;149;un_eur20_p_kWh_el;S2_battery_low_path_6to12kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
