;AEL_3.1_pessimistic;AEL_10_pessimistic;AEL_310_pessimistic;AEL_590_pessimistic;AEL_1000_pessimistic;PEM_3.1_pessimistic;PEM_10_pessimistic;PEM_310_pessimistic;PEM_590_pessimistic;PEM_1000_pessimistic;AEL_3.1_realistic;AEL_10_realistic;AEL_310_realistic;AEL_590_realistic;AEL_1000_realistic;PEM_3.1_realistic;PEM_10_realistic;PEM_310_realistic;PEM_590_realistic;PEM_1000_realistic;AEL_3.1_optimistic;AEL_10_optimistic;AEL_310_optimistic;AEL_590_optimistic;AEL_1000_optimistic;PEM_3.1_optimistic;PEM_10_optimistic;PEM_310_optimistic;PEM_590_optimistic;PEM_1000_optimistic
# Unit; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] 
# Price level; Pessimistic ; Pessimistic ; Pessimistic ; Pessimistic ; Pessimistic ; Pessimistic ; Pessimistic ; Pessimistic ; Pessimistic ; Pessimistic ; Realistic ; Realistic ; Realistic ; Realistic ; Realistic ; Realistic ; Realistic ; Realistic ; Realistic ; Realistic ; Optimistic ; Optimistic ; Optimistic ; Optimistic ; Optimistic ; Optimistic ; Optimistic ; Optimistic ; Optimistic ; Optimistic 
2035;878.06;779.30;514.01;442.63;442.66;1140.26;865.63;671.09;581.81;569.16;734.25;655.35;468.12;422.64;415.08;952.37;734.42;538.09;513.58;479.55;590.44;531.40;422.23;402.65;387.50;764.49;603.21;405.09;445.34;389.93
2036;874.05;775.74;511.08;439.86;440.14;1117.68;856.23;656.49;568.58;559.44;729.64;651.54;465.50;420.24;412.93;931.27;727.16;530.04;505.69;473.58;585.23;527.34;419.92;400.63;385.71;744.87;598.10;403.59;442.81;387.71
2037;870.28;772.39;508.32;437.25;437.77;1095.55;847.34;642.20;555.65;549.72;725.31;647.96;463.04;417.99;410.90;910.65;720.32;522.19;498.04;467.67;580.35;523.53;417.75;398.73;384.03;725.75;593.30;402.17;440.42;385.62
2038;866.72;769.23;505.72;434.79;435.53;1073.85;838.90;628.23;543.02;540.00;721.24;644.59;460.71;415.86;408.98;890.49;713.84;514.53;490.59;461.82;575.75;519.95;415.70;396.93;382.43;707.12;588.78;400.83;438.16;383.65
2039;863.34;766.23;503.26;432.46;433.41;1052.59;830.88;614.56;530.67;530.28;717.38;641.40;458.51;413.85;407.17;870.78;707.70;507.06;483.35;456.03;571.41;516.56;413.75;395.23;380.92;688.97;584.52;399.56;436.03;381.78
2040;860.13;763.39;500.93;430.26;431.40;1031.75;823.23;601.19;518.61;520.56;713.72;638.37;456.42;411.94;405.44;851.52;684.78;499.77;476.31;450.28;567.31;513.35;411.91;393.62;379.49;671.29;546.33;398.36;434.01;380.01
2041;857.08;760.68;498.70;428.16;429.48;1011.32;815.92;588.10;506.82;510.84;710.25;635.49;454.43;410.12;403.81;832.69;679.32;492.66;469.45;444.58;563.41;510.30;410.16;392.08;378.13;654.06;542.73;397.21;432.08;378.32
2042;854.17;758.09;496.59;426.16;427.66;991.29;808.92;575.31;495.29;501.12;706.94;632.75;452.53;408.39;402.24;814.28;674.11;485.71;462.77;438.92;559.71;507.40;408.48;390.61;376.83;637.28;539.29;396.11;430.25;376.72
2043;851.38;755.62;494.56;424.25;425.92;971.66;802.21;562.79;484.03;491.40;703.78;630.13;450.72;406.73;400.75;796.29;669.12;478.92;456.26;433.29;556.18;504.63;406.89;389.21;375.58;620.92;536.02;395.06;428.50;375.18
2044;848.72;753.25;492.63;422.42;424.25;952.42;795.76;550.54;473.02;481.68;700.76;627.62;448.99;405.15;399.32;778.70;664.33;472.30;449.92;427.70;552.81;501.99;405.36;387.87;374.39;604.99;532.90;394.05;426.82;373.71
