technology;registeration_year;stock_year;num_cars;sources;quality;date;modifier
tec_car;1993;2007;1749155;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1993;2008;1198701;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1993;2009;1000543;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1993;2010;772985;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1993;2011;632976;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1993;2012;532886;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1993;2013;415594;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1993;2014;343190;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1993;2015;275890;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1993;2016;235845;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1993;2017;199474;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1993;2018;175977;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1994;2001;2876875;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1994;2002;2776364;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1994;2003;2653984;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1994;2004;2525849;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1994;2005;2366859;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1994;2006;2211125;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1994;2007;2022733;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1994;2008;1483022;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1994;2009;1312252;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1994;2010;989572;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1994;2011;864023;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1994;2012;701505;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1994;2013;584851;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1994;2014;453491;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1994;2015;381093;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1994;2016;306375;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1994;2017;263590;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1994;2018;219672;KBA.2017b;1;2019-02-26;D. Baumann
tec_car;1995;2001;3094523;KBA.2017b;1;2019-02-26;D. Baumann
