alternative;year;attribute;attribute_level
tec_cv;2048;att_v_type;CV
tec_cv;2049;att_v_type;CV
tec_cv;2050;att_v_type;CV
tec_fcev;2018;att_v_type;FCEV
tec_fcev;2019;att_v_type;FCEV
tec_fcev;2020;att_v_type;FCEV
tec_fcev;2021;att_v_type;FCEV
tec_fcev;2022;att_v_type;FCEV
tec_fcev;2023;att_v_type;FCEV
tec_fcev;2024;att_v_type;FCEV
tec_fcev;2025;att_v_type;FCEV
tec_fcev;2026;att_v_type;FCEV
tec_fcev;2027;att_v_type;FCEV
tec_fcev;2028;att_v_type;FCEV
tec_fcev;2029;att_v_type;FCEV
tec_fcev;2030;att_v_type;FCEV
tec_fcev;2031;att_v_type;FCEV
tec_fcev;2032;att_v_type;FCEV
tec_fcev;2033;att_v_type;FCEV
tec_fcev;2034;att_v_type;FCEV
tec_fcev;2035;att_v_type;FCEV
tec_fcev;2036;att_v_type;FCEV
tec_fcev;2037;att_v_type;FCEV
tec_fcev;2038;att_v_type;FCEV
tec_fcev;2039;att_v_type;FCEV
tec_fcev;2040;att_v_type;FCEV
tec_fcev;2041;att_v_type;FCEV
tec_fcev;2042;att_v_type;FCEV
tec_fcev;2043;att_v_type;FCEV
tec_fcev;2044;att_v_type;FCEV
tec_fcev;2045;att_v_type;FCEV
tec_fcev;2046;att_v_type;FCEV
tec_fcev;2047;att_v_type;FCEV
tec_fcev;2048;att_v_type;FCEV
tec_fcev;2049;att_v_type;FCEV
tec_fcev;2050;att_v_type;FCEV
tec_bev;2018;att_w2w;low_co2
tec_bev;2019;att_w2w;low_co2
tec_bev;2020;att_w2w;low_co2
tec_bev;2021;att_w2w;low_co2
tec_bev;2022;att_w2w;low_co2
tec_bev;2023;att_w2w;low_co2
tec_bev;2024;att_w2w;low_co2
tec_bev;2025;att_w2w;low_co2
tec_bev;2026;att_w2w;low_co2
tec_bev;2027;att_w2w;low_co2
tec_bev;2028;att_w2w;low_co2
tec_bev;2029;att_w2w;low_co2
tec_bev;2030;att_w2w;low_co2
tec_bev;2031;att_w2w;low_co2
tec_bev;2032;att_w2w;low_co2
tec_bev;2033;att_w2w;low_co2
tec_bev;2034;att_w2w;low_co2
tec_bev;2035;att_w2w;low_co2
tec_bev;2036;att_w2w;low_co2
tec_bev;2037;att_w2w;low_co2
tec_bev;2038;att_w2w;low_co2
tec_bev;2039;att_w2w;low_co2
tec_bev;2040;att_w2w;low_co2
tec_bev;2041;att_w2w;low_co2
tec_bev;2042;att_w2w;low_co2
tec_bev;2043;att_w2w;low_co2
tec_bev;2044;att_w2w;low_co2
tec_bev;2045;att_w2w;low_co2
tec_bev;2046;att_w2w;low_co2
tec_bev;2047;att_w2w;low_co2
tec_bev;2048;att_w2w;low_co2
tec_bev;2049;att_w2w;low_co2
tec_bev;2050;att_w2w;low_co2
tec_cv;2018;att_w2w;high_co2
tec_cv;2019;att_w2w;high_co2
tec_cv;2020;att_w2w;high_co2
tec_cv;2021;att_w2w;high_co2
tec_cv;2022;att_w2w;high_co2
tec_cv;2023;att_w2w;high_co2
tec_cv;2024;att_w2w;high_co2
tec_cv;2025;att_w2w;high_co2
tec_cv;2026;att_w2w;high_co2
tec_cv;2027;att_w2w;high_co2
tec_cv;2028;att_w2w;medium_co2
tec_cv;2029;att_w2w;medium_co2
tec_cv;2030;att_w2w;medium_co2
tec_cv;2031;att_w2w;medium_co2
tec_cv;2032;att_w2w;medium_co2
tec_cv;2033;att_w2w;medium_co2
tec_cv;2034;att_w2w;medium_co2
tec_cv;2035;att_w2w;medium_co2
tec_cv;2036;att_w2w;medium_co2
tec_cv;2037;att_w2w;medium_co2
tec_cv;2038;att_w2w;medium_co2
tec_cv;2039;att_w2w;medium_co2
tec_cv;2040;att_w2w;medium_co2
tec_cv;2041;att_w2w;medium_co2
tec_cv;2042;att_w2w;medium_co2
tec_cv;2043;att_w2w;medium_co2
tec_cv;2044;att_w2w;medium_co2
tec_cv;2045;att_w2w;medium_co2
tec_cv;2046;att_w2w;medium_co2
tec_cv;2047;att_w2w;medium_co2
tec_cv;2048;att_w2w;medium_co2
tec_cv;2049;att_w2w;medium_co2
tec_cv;2050;att_w2w;medium_co2
tec_fcev;2018;att_w2w;medium_co2
tec_fcev;2019;att_w2w;medium_co2
tec_fcev;2020;att_w2w;medium_co2
tec_fcev;2021;att_w2w;medium_co2
tec_fcev;2022;att_w2w;medium_co2
tec_fcev;2023;att_w2w;medium_co2
tec_fcev;2024;att_w2w;medium_co2
tec_fcev;2025;att_w2w;medium_co2
tec_fcev;2026;att_w2w;medium_co2
tec_fcev;2027;att_w2w;medium_co2
tec_fcev;2028;att_w2w;medium_co2
tec_fcev;2029;att_w2w;medium_co2
tec_fcev;2030;att_w2w;medium_co2
tec_fcev;2031;att_w2w;medium_co2
tec_fcev;2032;att_w2w;medium_co2
tec_fcev;2033;att_w2w;medium_co2
tec_fcev;2034;att_w2w;medium_co2
tec_fcev;2035;att_w2w;medium_co2
tec_fcev;2036;att_w2w;medium_co2
tec_fcev;2037;att_w2w;medium_co2
tec_fcev;2038;att_w2w;medium_co2
tec_fcev;2039;att_w2w;medium_co2
tec_fcev;2040;att_w2w;medium_co2
tec_fcev;2041;att_w2w;medium_co2
tec_fcev;2042;att_w2w;medium_co2
tec_fcev;2043;att_w2w;medium_co2
tec_fcev;2044;att_w2w;medium_co2
tec_fcev;2045;att_w2w;medium_co2
tec_fcev;2046;att_w2w;medium_co2
tec_fcev;2047;att_w2w;medium_co2
tec_fcev;2048;att_w2w;medium_co2
tec_fcev;2049;att_w2w;medium_co2
tec_fcev;2050;att_w2w;medium_co2
